username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position,month_sin,month_cos,hour,weekday,is_weekend,text_length,word_count,has_hashtag,has_mention,has_excl,date_x,hashtags,hashtag_overlap_top10,semantic_sim_top10,tweets_top10,likes_top10,retweets_top10,likes_top10_norm,tweets_top10_norm,date_y,comp_likes_median_7dmean,comp_replies_median_7dmean,comp_views_median_7dmean,likes_banco_7dmean,likes_fintech_7dmean,replies_banco_7dmean,replies_fintech_7dmean,views_banco_7dmean,views_fintech_7dmean,comp_likes_median_trend,comp_replies_median_trend,comp_views_median_trend,likes_banco_trend,likes_fintech_trend,replies_banco_trend,replies_fintech_trend,views_banco_trend,views_fintech_trend,likes_rollmed_30d,likes_rel,replies_rollmed_30d,replies_rel,views_rollmed_30d,views_rel
uala_arg,"Podés encontrar más info en este link  
bit.ly/ComunicadodePr
…. Y como siempre decimos... ¡Lo mejor está por venir!",6,0,4,0,2022-06-30 14:00:41,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,14,3,0,116,18,0,0,1,2022-06-30,[],0.0,0.15707240998744965,1.0,0.0,0.0,-0.7177359266445348,-0.2492702617835275,2022-06-28 20:40:01,8.625,19.625,0.0,8.625,38.0,19.625,90.0,0.0,0.0,-0.1228813559322034,-0.12777777777777777,0.0,-0.1228813559322034,0.0,-0.12777777777777777,0.0,0.0,0.0,6.0,0.9998333611064822,4.0,0.9997500624843788,0.0,0.0
uala_arg,"¡Queremos desearle un muy feliz aniversario a @Wilobank ! El primer banco 100% digital de Argentina, que recientemente se sumó a nuestro ecosistema . 
Junt@s vamos a seguir construyendo soluciones para nuestra comunidad de usuari@s, y los que quieran formar parte.",54,5,8,0,2022-06-30 14:00:41,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,14,3,0,264,41,0,1,1,2022-06-30,[],0.0,0.4068959653377533,1.0,0.0,0.0,-0.7177359266445348,-0.2492702617835275,2022-06-28 20:40:01,8.625,19.625,0.0,8.625,38.0,19.625,90.0,0.0,0.0,-0.1228813559322034,-0.12777777777777777,0.0,-0.1228813559322034,0.0,-0.12777777777777777,0.0,0.0,0.0,30.0,1.7999400019999332,6.0,1.3331111481419762,0.0,0.0
uala_arg,¿Tenés un amig@ emprendedor y te gusta tener plata extra en tu Ualá?  ¡Invitalo a Ualá Bis y con su primera de venta de $5.000 o más ambos ganan $300!,9,0,6,0,2022-06-30 17:30:06,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,17,3,0,150,30,0,1,1,2022-06-30,[],0.0,0.056830525398254395,1.0,0.0,0.0,-0.7177359266445348,-0.2492702617835275,2022-06-28 20:40:01,8.625,19.625,0.0,8.625,38.0,19.625,90.0,0.0,0.0,-0.1228813559322034,-0.12777777777777777,0.0,-0.1228813559322034,0.0,-0.12777777777777777,0.0,0.0,0.0,9.0,0.9998889012331964,6.0,0.9998333611064822,0.0,0.0
uala_arg,"Si aceptan QR, aceptan Ualá ",37,3,10,0,2022-07-01 18:47:51,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,18,4,0,28,5,0,0,0,2022-07-01,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-30 21:14:19,6.875,26.875,0.0,6.875,38.0,26.875,90.0,0.0,0.0,-0.2028985507246377,0.3694267515923566,0.0,-0.2028985507246377,0.0,0.3694267515923566,0.0,0.0,0.0,23.0,1.6086257119255685,7.0,1.42836737608913,0.0,0.0
uala_arg,"Por si no te enteraste, hasta el domingo cobrando con Ualá Bis podes ofrecer 3 cuotas sin interés con todas las tarjetas 

#DelLadoDeTuNegocio",7,1,6,0,2022-07-01 19:16:23,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,19,4,0,142,23,1,0,0,2022-07-01,['#delladodetunegocio'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-30 21:14:19,6.875,26.875,0.0,6.875,38.0,26.875,90.0,0.0,0.0,-0.2028985507246377,0.3694267515923566,0.0,-0.2028985507246377,0.0,0.3694267515923566,0.0,0.0,0.0,9.0,0.7776913676258194,6.0,0.9998333611064822,0.0,0.0
uala_arg,Se viene un lindo lanzamiento el lunes… Se las dejamos picando ...,62,4,35,0,2022-07-15 19:53:32,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,19,4,0,66,12,0,0,0,2022-07-15,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-14 19:08:00,18.25,62.0,0.0,18.25,38.0,62.0,90.0,0.0,0.0,5.84375,45.5,0.0,5.84375,0.0,45.5,0.0,0.0,0.0,23.0,2.6955349767401415,7.0,4.999285816311955,0.0,0.0
uala_arg,"Manu llegó para abrirnos el camino, y mostrarnos que con esfuerzo, no hay límites.
Construí tu historia, y lanzate a hacer lo que siempre soñaste.
Que nunca te digan que no podés, porque si la tenés, podés hacer lo que antes no podías.
#TuCaminoSinLímites
Ualá x 
@manuginobili",98,19,140,0,2022-07-18 14:01:40,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,14,0,0,277,47,1,1,0,2022-07-18,['#tucaminosinlímites'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-14 19:08:00,18.25,62.0,0.0,18.25,38.0,62.0,90.0,0.0,0.0,5.84375,45.5,0.0,5.84375,0.0,45.5,0.0,0.0,0.0,37.0,2.6485770654847167,8.0,17.497812773403325,0.0,0.0
uala_arg,"¿Podrán tener de embajador a 
@manuginobili
? ",103,3,6,0,2022-07-18 15:23:53,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,15,0,0,46,7,0,1,0,2022-07-18,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-14 19:08:00,18.25,62.0,0.0,18.25,38.0,62.0,90.0,0.0,0.0,5.84375,45.5,0.0,5.84375,0.0,45.5,0.0,0.0,0.0,45.5,2.2636865123843433,7.0,0.857020425653478,0.0,0.0
uala_arg,"Primero como inversor, ahora también como embajador. 
Gracias por confiar en mí!! Mucho camino por delante juntos! ",937,58,20,0,2022-07-18 15:28:57,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,15,0,0,115,17,0,0,1,2022-07-18,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-14 19:08:00,18.25,62.0,0.0,18.25,38.0,62.0,90.0,0.0,0.0,5.84375,45.5,0.0,5.84375,0.0,45.5,0.0,0.0,0.0,54.0,17.35153052721246,8.0,2.499687539057618,0.0,0.0
uala_arg,"Che, hablando de 
@manuginobili
... Acá está Sebas Domenech con una tremenda obra de arte que puede ser tuya. Atent@ a nuestro Instagram el jueves ",25,3,6,0,2022-07-18 20:21:44,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,20,0,0,147,25,0,1,0,2022-07-18,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-14 19:08:00,18.25,62.0,0.0,18.25,38.0,62.0,90.0,0.0,0.0,5.84375,45.5,0.0,5.84375,0.0,45.5,0.0,0.0,0.0,45.5,0.549438473879695,7.0,0.857020425653478,0.0,0.0
