Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1877453623640158680,Ualá Argentina,Hoy todos queremos ser mi vieja 🤑 https://t.co/QghRo9g69V,Thu Jan 09 20:33:19 +0000 2025,0,37,1,10,15814
1877338829868167413,Ualá Argentina,"- ¿Por qué tan elegante?
- Hoy se pagan intereses y amortizaciones de algunos Bonos 🤑

¿No sabés de qué estamos hablando? No te preocupes, en este hilo te contamos todo para que vos también puedas estirar tu dineeeero👇🧵 https://t.co/x1I37CkzvO",Thu Jan 09 12:57:10 +0000 2025,2,27,1,17,18255
1877051176526532948,Ualá Argentina,"Tutorial para estirar tu dineeeero desde la pile 💦

1. Podés poner hasta $750.000 en tu Cuenta Remunerada, hacerlos rendir un 35% TNA y ganar hasta $21.500 por mes 
2. Si tenés más plata, el Fondo Común de Inversión te espera sin límites y con disponibilidad de tu plata 24/7 https://t.co/BYdChasuxs",Wed Jan 08 17:54:09 +0000 2025,0,6,0,6,3151
1876736160929587702,Ualá Argentina,"2025 llega con toda y tu Cuenta Remunerada también 🎉

¡Ahora podés ganar más plata! Hasta $21.500 por mes sólo por tener tu plata depositada 🚀 

Subimos el tope: tu plata genera rendimientos si ingresás desde $10.000 hasta $750.000 🤑

Ahora la tasa es de 35% TNA: sí, seguimos",Tue Jan 07 21:02:23 +0000 2025,4,96,1,32,8855
1874899542069653969,Ualá Argentina,"🏖 Damos inicio a la temporada de darte el gusto con Ualá. Aprovechá promos en Havanna, Atalaya, Patagonia, Temple, Lucciano's, ¡y más!
Mirá https://t.co/hgcpFWqQUk https://t.co/Ady1zOaSCX",Thu Jan 02 19:24:19 +0000 2025,1,15,0,23,5835
1879981953816088661,Ualá Argentina,Los 35 que no / Los 35 que sí https://t.co/IomN22TO1M,Thu Jan 16 20:00:00 +0000 2025,0,42,0,29,5615
1879963171076931789,Ualá Argentina,Pero podés empezar ahora. DtMF🩹 https://t.co/MRh6W9oCGe,Thu Jan 16 18:45:22 +0000 2025,1,20,2,7,5144
1879549337862087040,Ualá Argentina,"¿Necesitabas otra señal para empezar a invertir? 👇
Ahora podés hacerlo con 13 nuevos CEDEARs de ETF. Entrá acá 👉 https://t.co/NDGXPK3q5k  y filtrá por “ETF” para descubrirlos.

💡 Datito: muchos hacen foco en un sector específico y están compuestos por empresas que forman parte",Wed Jan 15 15:20:57 +0000 2025,1,4,0,14,3012
1878894675001786604,Ualá Argentina,"Chicos, para organizarnos, ¿alguien tiene pile? Llevo heladito de Lucciano´s que tengo promo 🥵🌡☀

https://t.co/VWAvw4wbH4",Mon Jan 13 19:59:33 +0000 2025,0,9,0,11,3825
1884232720420606251,Ualá Argentina,"¡Se sumaron 6 nuevos Fondos Comunes de Inversión para invertir desde la app! 🤑
Si, sabemos que lo estabas esperando, por eso ahora  también podés invertir tus dólares desde el FCI Ahorro Dólares 💸.
Descubrí el detalle de cada uno desde la app. Encontralos en la sección https://t.co/YWL1jbBiLK",Tue Jan 28 13:31:02 +0000 2025,1,25,0,10,5074
1883981508928757945,Ualá Argentina,"Ingresos Brutos ahoga al crédito y al consumo en Argentina
https://t.co/SYgMcpVA5f https://t.co/Y0N16o4i1H",Mon Jan 27 20:52:49 +0000 2025,697,3295,49,71,185819
1883886921598075023,Ualá Argentina,Es mejor que encontrar plata en un pantalón porque ahora tenés más 🤑,Mon Jan 27 14:36:57 +0000 2025,0,10,0,5,4782
